Model,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson
BLEU Ξ§,0.7988772238903901,0.7385058501183717,0.7730162713288586,0.8050855886583825,0.8125837218208478,0.8683284366448947
ROUGE-1 Recall Ξ§,0.7909720918180811,0.7352521514260209,0.745915607859952,0.8411456003669074,0.8172474250058828,0.9048909302849866
ROUGE-1 Precision Ξ§,0.5736173926169554,0.18708804120393965,0.22059832458236966,0.4729328699900335,0.32513435980320127,0.5209306944353106
ROUGE-1 F-Score Ξ§,0.747871061940449,0.8471942219422146,0.8553353088745822,0.8794481644130538,0.9069429806117622,0.9334615843431664
ROUGE-2 Recall Ξ§,0.6744343126230803,0.7403653287434525,0.7736752378368351,0.7107704931844457,0.7642445851264887,0.7978098927752229
ROUGE-2 Precision Ξ§,0.6151600470779237,0.1905480367870933,0.2438083660028481,0.5011353128646553,0.33302032119359126,0.47475242933103257
ROUGE-2 F-Score Ξ§,0.42195278981430556,0.7354481440371475,0.7433521242007219,0.5695974679733521,0.7032688744193606,0.656085768129697
ROUGE-3 Recall Ξ§,0.13614449192980327,0.28046150045286833,0.389801578405953,0.05121389866709912,0.21798129852942116,0.14969072826578017
ROUGE-3 Precision Ξ§,0.7154920821596139,0.5577596137387567,0.5700146967743882,0.7858989975571832,0.6740127120119421,0.7683337128861929
ROUGE-3 F-Score Ξ§,0.31913845739297897,0.07292549263525434,0.02086628107171084,0.36665017811497114,0.1831963817455145,0.3017257961322341
ROUGE-4 Recall Ξ§,0.4021372343491424,0.14292512911052663,0.12989049842230874,0.37191987743304217,0.2794009656152443,0.3894525596006255
ROUGE-4 Precision Ξ§,0.7105410039810973,0.5701776330455505,0.5953210974044219,0.7820632973212633,0.6872896707217643,0.7699280679756666
ROUGE-4 F-Score Ξ§,0.5558959744776244,0.3772207654400158,0.37615451300009467,0.6059409220436778,0.5104100249020969,0.6134627134814858
ROUGE-L Recall Ξ§,0.7691417101725779,0.7136555871357599,0.7379068817154671,0.800479071053884,0.7872026927465763,0.8758155963069576
ROUGE-L Precision Ξ§,0.7259257852764522,0.6505881478271431,0.6484287656716266,0.8199840083068617,0.7639085220984554,0.8689370644265986
ROUGE-L F-Score Ξ§,0.5892088840898617,0.8049946637277776,0.8301506676975186,0.7249219728481019,0.8162557235029781,0.791463649200325
ROUGE-W-1.2 Recall Ξ§,0.7612031392623068,0.7251039042759025,0.7399045081477422,0.80803252301577,0.7961899962401949,0.8830660446447298
ROUGE-W-1.2 Precision Ξ§,0.7269351514178393,0.6887899319110505,0.683518059657415,0.8351317739063794,0.7947918358349978,0.8874064402224264
ROUGE-W-1.2 F-Score Ξ§,0.6888777231181642,0.7954333574409106,0.8153780807324597,0.7920916139537243,0.8361639314697298,0.8652501997766028
ROUGE-S* Recall Ξ§,0.8024003267945665,0.6440384499271912,0.6689103211467302,0.7727978541336588,0.7299288369910928,0.8439004938676171
ROUGE-S* Precision Ξ§,0.6489333729750504,0.3182949869010141,0.3461010116923464,0.5969379619824844,0.45663803788138024,0.6247374729288656
ROUGE-S* F-Score Ξ§,0.8038799421781593,0.7684878782667075,0.8119335616094348,0.8348732693824732,0.8412964452176853,0.9017875988149737
ROUGE-SU* Recall Ξ§,0.8023184167779331,0.6455964865666717,0.6701559073040575,0.7740505996507623,0.7314332444611659,0.8450496273121628
ROUGE-SU* Precision Ξ§,0.6562172096042009,0.3303717871360393,0.35622731615958314,0.6047919333784126,0.4685014596665523,0.6352915667685439
ROUGE-SU* F-Score Ξ§,0.8028571830059097,0.7707632193170144,0.8138687880343236,0.8357907111884304,0.8431684865336645,0.902547751271219
METEOR Ξ§,0.7763192056121728,0.71946127685627,0.7250235784716648,0.8319909880548882,0.8074366507270766,0.8970454543802014
chrF Ξ§,0.7629580459593744,0.745554645768649,0.7368634582801407,0.8738780828622992,0.8328729737654669,0.9245492943271233
CIDEr Ξ§,0.26163626243626714,0.2805091956793065,0.24889831492106448,0.3293694975356647,0.3248580726179069,0.2839650616984611
ROUGE-WE-3 Recall Ξε,0.753594313690214,0.7803403611558497,0.8096358047662874,0.8243507000602309,0.8430661469174645,0.9030204944086088
ROUGE-WE-3 Precision Ξε,0.4677541716621625,0.0892730944774528,0.03181701862964237,0.24509419297415772,0.04514229622719726,0.22804244301998405
ROUGE-WE-3 F-Score Ξε,0.622971203343606,0.8635508069009165,0.8792583385904482,0.8054526891795447,0.8897383043523606,0.8784244389851428
BERTScore Precision Ξε,0.3038364794145314,0.1729373517543633,0.10463641643548896,0.41790965695176713,0.30088426992440986,0.4190080669904358
BERTScore Recall Ξε,0.7337187735531152,0.8364911339373129,0.8272206061013996,0.9109228371445406,0.9081699032522924,0.9548867162501672
BERTScore F1 Ξε,0.69886591627576,0.8790751324957458,0.8867156172959242,0.8781490386166483,0.917392612762717,0.9256483674359615
MoverScore Ξε,0.6732122310273567,0.8694876944515219,0.8616844936940947,0.8887458350780585,0.9207061200688634,0.9038515111121521
DepthScore Ξε,0.670676169999298,0.8738267472813346,0.8619673899618701,0.9071225896260168,0.9343885959003853,0.9562737097279383
BaryScore-W Ξε,0.6508627542495551,0.8798787181483014,0.8996162348906684,0.8455728324518135,0.9114435008845763,0.8819059628185425
BaryScore-SD-10 Ξε,0.4403886821487266,0.5040828694470065,0.3585422670425631,0.6137802719698654,0.524529375264339,0.602288428668347
BaryScore-SD-5 Ξε,0.437199179201483,0.5004205987489164,0.35445464270944804,0.6106228501364479,0.5210489441150794,0.5991933031098329
BaryScore-SD-1 Ξε,0.4110043039511162,0.4667241458341328,0.3179378103664422,0.5834809911589431,0.49030270446142465,0.5729568672352967
BaryScore-SD-0.5 Ξε,0.37659342459483897,0.40677739868965024,0.2574708375873938,0.540905058208359,0.4387643236294706,0.5320238673795569
BaryScore-SD-0.1 Ξε,0.44494597784745726,0.724921939355456,0.7926422767065087,0.567043173401798,0.6984149805874219,0.5925034148908332
BaryScore-SD-0.01 Ξε,0.6484651976840232,0.8815163264060717,0.9001079599698654,0.8456953899161468,0.9123824750834895,0.8816776692600456
BaryScore-SD-0.001 Ξε,0.3966518619860417,0.5568270897676524,0.6226257643811617,0.5148036887782788,0.5386819132377625,0.5556526366117807
S3-Pyramid ΞΔ,0.7899466503128179,0.7740565715071702,0.7883395661780026,0.8605803603843653,0.8485583519057518,0.9248215161491934
S3-Responsiveness ΞΔ,0.789245323958726,0.7813228897647037,0.797529988231702,0.8551092961581357,0.8485044620311865,0.919989513905366
SummaQA ΞΔ,0.716075221358344,0.5706093856478808,0.6104611457478214,0.7698248761641535,0.6990430315554133,0.8015197370844291
InfoLM-FisherRao ΞΔ,0.6076421448392536,0.6609881356312646,0.7275344696435306,0.6979235593628806,0.7591861111624507,0.7546815394978895
InfoLM-R-FisherRao ΞΔ,0.6076421448392536,0.6609881356312646,0.7275344696435306,0.6979235593628806,0.7591861111624507,0.7546815394978895
InfoLM-Sim-FisherRao ΞΔ,0.6076421448392536,0.6609881356312646,0.7275344696435306,0.6979235593628806,0.7591861111624507,0.7546815394978895
BARTScore-SH ΞΔ,0.7762428475380887,0.8647014618772778,0.8783120560868272,0.926483447902867,0.924440135230139,0.938345647321355
BARTScore-HS ΞΔ,0.2899992877178682,0.46224608098033737,0.3994588271397619,0.5866091090089437,0.567385191570287,0.598467575090956
SUPERT-Golden ΞΔ,0.7263922907003764,0.8595667447075664,0.8810296639959033,0.8982884396390615,0.9220951766131082,0.931170850611447
BLANC-Golden ΞΔ,0.3253765265280109,0.5985091785024521,0.4691204507811089,0.6945545833187936,0.6568712280572699,0.6760163773180161
Coverage ¤§,0.39619133117986627,0.7364992846683077,0.6344837914124107,0.7295300542386645,0.7802979566439567,0.748309329907854
Density ¤§,0.3348534629516976,0.807020714992303,0.7075424248186225,0.7431305737178041,0.8360009819024251,0.7975740549775504
Compression ¤§,0.6786673497143224,0.806570305259223,0.787811428053762,0.8923665336787561,0.88764288625784,0.9431277884864727
Text length ¤§,0.7422371254504145,0.5697375660600461,0.5766497738215453,0.7511545604425427,0.6777003445647881,0.8180573196009424
Novelty-1 ¤§,0.5253644961007975,0.839262583332804,0.763479298468268,0.8606822728747078,0.8964689967821697,0.9055481982355291
Novelty-2 ¤§,0.3213381773782576,0.8155819868423619,0.7199514226797353,0.7446332516924461,0.8409227754031608,0.802023559589668
Novelty-3 ¤§,0.2883295559001624,0.7939021715176198,0.6906220467324049,0.7191810906132272,0.8185899000579753,0.7816143277188994
Repetition-1 ¤§,0.5000278718914435,0.7834984778208832,0.6829669661171105,0.8436610971939208,0.8399736827393496,0.8273646554793292
Repetition-2 ¤§,0.4628178230583523,0.8219304357675428,0.7329474696988739,0.8311684132362503,0.8701888751517094,0.8442941122897933
Repetition-3 ¤§,0.4308784814492139,0.8349069730083833,0.753793931906632,0.8101474707473934,0.8750217086404367,0.8405672722369741
SUPERT-PS ¤ε,0.2903296841173784,0.45458616044909994,0.27241840968160913,0.2519186342666038,0.40083461593067604,0.3291815368167136
SUPERT-SS ¤ε,0.28703051273926683,0.44564812231374595,0.2559285712103241,0.24339068134740624,0.39043876067566974,0.3086642558292928
BLANC-Tune-PS ¤Δ,0.1111427017810325,0.7501574193483889,0.6066694185628081,0.6215680350709619,0.7401319159600849,0.6812538123444922
BLANC-Help-PS ¤Δ,0.021038674210722447,0.6721202346303257,0.514166790570034,0.4672010122753756,0.6147488058431384,0.5404386483041195
BLANC-Tune-SS ¤Δ,0.48849602416442633,0.2606977028307379,0.01862058237580333,0.0937053029795735,0.1856660174415811,0.10198761250577387
BLANC-Help-SS ¤Δ,0.6425406617034781,0.05921237513847022,0.16027586233350483,0.0960393485225984,0.00028771196417815004,0.04963555031309386
BARTScore-PS ¤Δ,0.33548923613330917,0.5364957749097746,0.4589068681221105,0.6479837762072908,0.6339548704087636,0.6635612173390188
BARTScore-SP ¤Δ,0.7239988269630302,0.1158494296989183,0.2035388433798705,0.38257438402503097,0.20654330865939285,0.3389378302230532
